M1A ,Not assigned ,Not assigned 
M5W ,Downtown Toronto ,Stn A PO Boxes 
M6W ,Not assigned ,Not assigned 
M7W ,Not assigned ,Not assigned 
M8W ,Etobicoke ,"Alderwood, Long Branch "
M9W ,Etobicoke ,"Northwest, West Humber - Clairville "
M1X ,Scarborough ,Upper Rouge 
M2X ,Not assigned ,Not assigned 
M3X ,Not assigned ,Not assigned 
M4X ,Downtown Toronto ,"St. James Town, Cabbagetown "
M5X ,Downtown Toronto ,"First Canadian Place, Underground city "
M6X ,Not assigned ,Not assigned 
M7X ,Not assigned ,Not assigned 
M8X ,Etobicoke ,"The Kingsway, Montgomery Road, Old Mill North "
M9X ,Not assigned ,Not assigned 
M1Y ,Not assigned ,Not assigned 
M2Y ,Not assigned ,Not assigned 
M3Y ,Not assigned ,Not assigned 
M4Y ,Downtown Toronto ,Church and Wellesley 
M5Y ,Not assigned ,Not assigned 
M6Y ,Not assigned ,Not assigned 
M7Y ,East Toronto ,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto "
M8Y ,Etobicoke ,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East "
M9Y ,Not assigned ,Not assigned 
M1Z ,Not assigned ,Not assigned 
M2Z ,Not assigned ,Not assigned 
M3Z ,Not assigned ,Not assigned 
M4Z ,Not assigned ,Not assigned 
M5Z ,Not assigned ,Not assigned 
M6Z ,Not assigned ,Not assigned 
M7Z ,Not assigned ,Not assigned 
M8Z ,Etobicoke ,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West "
M9Z ,Not assigned ,Not assigned 
